Datetime,String,String,String,String,Datetime,Datetime
29Dec2019,Y4 000247 ,PVR,BJX,XAVRK,29Dec2019 15:34,29Dec2019 16:37
29Dec2019,Y4 000248 ,BJX,SJD,XAVRK,29Dec2019 17:41,29Dec2019 19:33
29Dec2019,Y4 000249 ,SJD,BJX,XAVRK,29Dec2019 20:03,29Dec2019 21:41
29Dec2019,Y4 000250 ,BJX,CJS,XAVRK,29Dec2019 22:20,30Dec2019 00:35
29Dec2019,Y4 000254 ,BJX,MXL,N509VL,29Dec2019 03:43,29Dec2019 06:59
29Dec2019,Y4 000255 ,MXL,BJX,N509VL,29Dec2019 08:06,29Dec2019 10:55
29Dec2019,Y4 000256 ,BJX,MID,N531VL,29Dec2019 04:14,29Dec2019 06:20
29Dec2019,Y4 000257 ,MID,BJX,N531VL,29Dec2019 01:10,29Dec2019 03:29
29Dec2019,Y4 000262 ,CUL,CJS,N541VL,29Dec2019 00:52,29Dec2019 02:26
29Dec2019,Y4 000263 ,CJS,CUL,N541VL,29Dec2019 02:56,29Dec2019 04:29
29Dec2019,Y4 000270 ,MID,CUU,N530VL,29Dec2019 13:15,29Dec2019 16:26
29Dec2019,Y4 000272 ,CUU,HMO,N530VL,29Dec2019 21:25,29Dec2019 22:39
29Dec2019,Y4 000273 ,HMO,CUU,N530VL,29Dec2019 23:14,30Dec2019 00:19
29Dec2019,Y4 000274 ,CUU,MXL,N530VL,29Dec2019 16:56,29Dec2019 18:48
29Dec2019,Y4 000275 ,MXL,CUU,N530VL,29Dec2019 19:18,29Dec2019 20:54
29Dec2019,Y4 000278 ,MEX,CJS,N518VL,29Dec2019 16:30,29Dec2019 19:17
29Dec2019,Y4 000279 ,CJS,MEX,N518VL,29Dec2019 19:49,29Dec2019 22:10
29Dec2019,Y4 000299 ,DFW,DGO,XAVRJ,29Dec2019 02:21,29Dec2019 04:49
29Dec2019,Y4 000301 ,DGO,GDL,XAVRJ,29Dec2019 05:37,29Dec2019 06:47
29Dec2019,Y4 000304 ,MEX,SAL,XAVLL,29Dec2019 16:33,29Dec2019 19:13
29Dec2019,Y4 000305 ,SAL,MEX,XAVLL,29Dec2019 19:58,29Dec2019 22:11
29Dec2019,Y4 000311 ,SJO,CUN,XAVLQ,29Dec2019 00:28,29Dec2019 02:57
29Dec2019,Y4 000350 ,GDL,QRO,XAVRF,29Dec2019 13:01,29Dec2019 14:05
29Dec2019,Y4 000364 ,PVR,PHX,XAVRF,29Dec2019 16:58,29Dec2019 19:48
29Dec2019,Y4 000365 ,PHX,PVR,XAVRF,29Dec2019 21:08,29Dec2019 23:44
29Dec2019,Y4 000366 ,QRO,PVR,XAVRF,29Dec2019 14:35,29Dec2019 16:07
29Dec2019,Y4 000399 ,BJX,TIJ,N514VL,29Dec2019 02:30,29Dec2019 05:47
29Dec2019,Y4 000400 ,TIJ,BJX,N527VL,29Dec2019 10:01,29Dec2019 12:56
29Dec2019,Y4 000401 ,BJX,TIJ,N527VL,29Dec2019 13:42,29Dec2019 16:59
29Dec2019,Y4 000402 ,TIJ,BJX,XAVRB,29Dec2019 16:03,29Dec2019 18:58
29Dec2019,Y4 000405 ,BJX,TIJ,XAVRB,29Dec2019 12:05,29Dec2019 15:22
29Dec2019,Y4 000406 ,TIJ,CEN,N513VL,29Dec2019 22:39,30Dec2019 00:13
29Dec2019,Y4 000408 ,TIJ,BJX,XAVRB,29Dec2019 08:20,29Dec2019 11:15
29Dec2019,Y4 000409 ,BJX,TIJ,N513VL,29Dec2019 02:07,29Dec2019 05:24
29Dec2019,Y4 000410 ,TIJ,CUL,N541VL,29Dec2019 16:24,29Dec2019 18:27
29Dec2019,Y4 000411 ,CUL,TIJ,N537VL,29Dec2019 17:41,29Dec2019 19:59
29Dec2019,Y4 000412 ,TIJ,CUL,N537VL,29Dec2019 20:43,29Dec2019 22:46
29Dec2019,Y4 000413 ,CUL,TIJ,N541VL,29Dec2019 13:11,29Dec2019 15:29
29Dec2019,Y4 000414 ,TIJ,CUL,N544VL,29Dec2019 01:30,29Dec2019 03:33
29Dec2019,Y4 000415 ,CUL,TIJ,N544VL,29Dec2019 04:03,29Dec2019 06:21
29Dec2019,Y4 000417 ,CUL,TIJ,N537VL,29Dec2019 23:44,30Dec2019 02:02
29Dec2019,Y4 000418 ,TIJ,CUL,XAVLV,29Dec2019 02:46,29Dec2019 04:49
29Dec2019,Y4 000419 ,CUL,TIJ,XAVLJ,29Dec2019 05:12,29Dec2019 07:30
29Dec2019,Y4 000420 ,TIJ,GDL,XAVLH,29Dec2019 03:44,29Dec2019 06:36
29Dec2019,Y4 000422 ,TIJ,GDL,N527VL,29Dec2019 17:39,29Dec2019 20:31
29Dec2019,Y4 000423 ,GDL,TIJ,N517VL,29Dec2019 21:17,30Dec2019 00:30
29Dec2019,Y4 000424 ,TIJ,GDL,XAVRF,29Dec2019 01:10,29Dec2019 04:02
29Dec2019,Y4 000425 ,GDL,TIJ,XAVLH,29Dec2019 23:44,30Dec2019 02:57
29Dec2019,Y4 000426 ,TIJ,GDL,XAVLT,29Dec2019 15:30,29Dec2019 18:22
29Dec2019,Y4 000427 ,GDL,TIJ,XAVLW,29Dec2019 14:36,29Dec2019 17:49
29Dec2019,Y4 000428 ,TIJ,GDL,XAVLZ,29Dec2019 08:50,29Dec2019 11:42
29Dec2019,Y4 000429 ,GDL,TIJ,XAVLM,29Dec2019 05:00,29Dec2019 08:13
29Dec2019,Y4 000430 ,TIJ,GDL,XAVLJ,29Dec2019 14:41,29Dec2019 17:33
29Dec2019,Y4 000431 ,GDL,TIJ,XAVRB,29Dec2019 04:20,29Dec2019 07:33
29Dec2019,Y4 000432 ,TIJ,GDL,N522VL,29Dec2019 10:58,29Dec2019 13:50
29Dec2019,Y4 000433 ,GDL,TIJ,XAVLK,29Dec2019 04:00,29Dec2019 07:13
29Dec2019,Y4 000434 ,TIJ,GDL,XAVRB,29Dec2019 00:16,29Dec2019 03:08
29Dec2019,Y4 000435 ,GDL,TIJ,N536VL,29Dec2019 11:11,29Dec2019 14:24
29Dec2019,Y4 000437 ,GDL,TIJ,XAVLZ,29Dec2019 17:19,29Dec2019 20:32
29Dec2019,Y4 000440 ,TIJ,MLM,XAVLK,29Dec2019 07:52,29Dec2019 10:55
29Dec2019,Y4 000441 ,MLM,TIJ,XAVLK,29Dec2019 12:00,29Dec2019 15:26
29Dec2019,Y4 000442 ,TIJ,MLM,N507VL,29Dec2019 19:48,29Dec2019 22:51
29Dec2019,Y4 000443 ,MLM,TIJ,XAVOZ,29Dec2019 23:30,30Dec2019 02:56
29Dec2019,Y4 000444 ,TIJ,MLM,XAVRA,29Dec2019 13:41,29Dec2019 16:44
29Dec2019,Y4 000445 ,MLM,TIJ,XAVRA,29Dec2019 17:24,29Dec2019 20:50
29Dec2019,Y4 000448 ,TIJ,MID,N530VL,29Dec2019 07:46,29Dec2019 11:57
29Dec2019,Y4 000450 ,TIJ,SJD,XAVLW,29Dec2019 18:29,29Dec2019 20:39
29Dec2019,Y4 000451 ,SJD,TIJ,XAVLW,29Dec2019 21:14,29Dec2019 23:31
29Dec2019,Y4 000452 ,TIJ,SJD,XAVLT,29Dec2019 02:27,29Dec2019 04:37
29Dec2019,Y4 000453 ,SJD,TIJ,XAVLT,29Dec2019 05:12,29Dec2019 07:29
29Dec2019,Y4 000454 ,TIJ,DGO,N523VL,29Dec2019 10:20,29Dec2019 12:43
29Dec2019,Y4 000455 ,DGO,TIJ,N523VL,29Dec2019 13:13,29Dec2019 15:57
29Dec2019,Y4 000460 ,TIJ,PBC,N526VL,29Dec2019 17:10,29Dec2019 20:38
29Dec2019,Y4 000461 ,PBC,TIJ,N526VL,29Dec2019 21:08,30Dec2019 01:00
29Dec2019,Y4 000462 ,TIJ,TAP,N534VL,29Dec2019 20:47,30Dec2019 01:06
29Dec2019,Y4 000464 ,TIJ,PBC,N544VL,29Dec2019 13:00,29Dec2019 16:28
