124.793794 53964 2
245.506441 53964 6
377.841745 53067 10
527.017105 52265 16
660.388869 52074 20
797.495590 51409 26
943.825207 48501 31
1076.765056 46046 36
1216.233072 43828 42
1349.087533 43828 48
1474.892754 43828 52
1600.641214 43828 55
1734.657196 43828 60
1869.602792 43828 65
1993.646795 43828 70
2136.901599 43828 76
2279.030955 43828 82
2415.834811 43828 86
2544.024901 43828 92
2664.714546 43828 96
2791.117741 43828 100
2911.688206 43828 104
3034.674528 43828 109
3168.031896 43828 115
3301.617551 43828 121
3432.526156 43828 126
3588.773574 43828 130
