Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84589.2293350895	84523.8834127784	339.6716218909	97526.9664220015	84589.2293350895	0.4812393689	491.8813333333	0.1666666667	
84572.3113215963	84509.3915060163	343.7643947754	97326.7006346583	84572.3113215963	0.4753182580	480.7806666667	0.2000000000	
84557.7562895417	84496.9795331359	342.8173677788	97198.4085713824	84557.7562895417	0.4692764809	460.0766666667	0.2000000000	
84543.2768417398	84487.9886105657	342.2349042500	96867.8647907575	84543.2768417398	0.4646391998	449.7533333333	0.2000000000	
84531.6260709365	84486.7865398526	338.0423425308	96805.5702892939	84531.6260709365	0.4595401658	438.0986666667	0.2000000000	
84518.7043293317	84483.1488862634	338.1895468232	96805.5702892939	84518.7043293317	0.4547889395	428.1226666667	0.2333333333	
84505.4203580817	84478.3391371369	335.4095986813	96805.5702892939	84505.4203580817	0.4504121242	415.8053333333	0.2666666667	
84492.2040490309	84469.1718652844	337.1492638291	96805.5702892939	84492.2040490309	0.4462982038	404.7120000000	0.3333333333	
84482.0994298657	84461.7760136724	334.5625776498	96146.2938812375	84482.0994298657	0.4420601665	396.2833333333	0.3666666667	
84472.4820554256	84456.6537156701	333.0725580702	96042.6823770006	84472.4820554256	0.4384789292	389.1600000000	0.3666666667	
84465.8275284370	84450.1791134477	331.8800198689	95745.4831753175	84465.8275284370	0.4342430514	378.5240000000	0.3666666667	
84453.4112522006	84427.5945439935	328.2436642383	95745.4831753175	84453.4112522006	0.4313419959	371.3640000000	0.3666666667	
84445.5605501930	84421.3456675410	324.9317566191	95745.4831753175	84445.5605501930	0.4268227400	361.8946666667	0.4000000000	
84437.3303301136	84412.4114975333	323.7428600537	95582.7003838619	84437.3303301136	0.4239429884	360.0533333333	0.4000000000	
84428.1123436491	84394.4532766938	322.8751533870	95582.7003838619	84428.1123436491	0.4202523615	352.3313333333	0.4000000000	
84422.8111852209	84381.6337123513	322.6769048157	95502.6174385349	84422.8111852209	0.4161968619	345.0546666667	0.4000000000	
84412.9748654366	84373.2791259885	322.1215906698	95216.4027431607	84412.9748654366	0.4133883371	333.3366666667	0.4333333333	
84406.9077031811	84368.4539958835	324.6534349796	95216.4027431607	84406.9077031811	0.4108276024	325.6753333333	0.4333333333	
84398.8452876608	84367.0212820172	329.2015058673	95139.7311104337	84398.8452876608	0.4082591749	321.4280000000	0.4333333333	
84393.4217286110	84363.5917559266	328.6473215307	95025.5921760201	84393.4217286110	0.4053630197	318.1546666667	0.4666666667	
84387.7583393455	84360.1848229766	328.7783983262	94724.8619298140	84387.7583393455	0.4022150355	310.2600000000	0.4666666667	
84382.6604773601	84356.7152932286	328.6027291499	94622.4096732338	84382.6604773601	0.3987517651	301.2846666667	0.4666666667	
84377.4196534355	84356.2130078673	328.1355888224	94617.2191689412	84377.4196534355	0.3959269383	294.9186666667	0.4666666667	
84371.3802994291	84354.4810518622	325.6348187719	94536.9377837579	84371.3802994291	0.3933690356	289.8980000000	0.4666666667	
84367.2626097004	84353.4047648311	325.4229747040	94536.9377837579	84367.2626097004	0.3910233795	287.1380000000	0.4666666667	
84361.5020700296	84329.6045541763	324.8023116537	94536.9377837579	84361.5020700296	0.3892954488	284.0206666667	0.5000000000	
84355.9955360492	84328.4577995539	323.9250412067	94501.3214942813	84355.9955360492	0.3869198604	278.9773333333	0.5000000000	
84353.3784863353	84321.6134995222	324.3355374721	94488.7250715494	84353.3784863353	0.3846280489	272.5033333333	0.5000000000	
84350.2616375685	84320.8326309919	323.5285912824	94440.3681855400	84350.2616375685	0.3819715871	264.9580000000	0.5000000000	
