GEN_ELIT	84444.2364126444	84048.4046638012	84632.3192864656	85139.1738802195	83996.0813581944	84272.8302448988	84610.2719932795	84926.1277407408	83685.6617718935	84527.3987084627	85911.1800462008	83556.9574594498	83914.0703171492	84683.3823472261	84572.4533975124	84280.3018361330	83919.0847635269	83880.3676724434	84268.4155762196	85108.4619164467	84494.3879991770	83858.6517632008	84464.6319419146	83698.6467778683	84011.9192630053	84637.4777495861	85400.9424507618	85325.8528858423	83831.2872320414	84355.9338837862
CLR_1	84421.9050109386	84712.5140994787	84501.2302994728	84497.7901339531	84690.3583943844	84074.9927848577	84672.5862622261	85026.6984790564	84068.5390025377	83940.9852832556	84010.4982674122	84105.6472778320	84223.2637703419	84712.8351598978	84362.1336638927	84537.7171993256	84101.1132389307	84741.6903883219	84990.6725108624	84267.0912533998	84591.8592035770	83672.0079571009	84795.6118375063	83693.0028885603	83565.3887897730	83992.2548592091	84660.2548122406	84099.9818116426	84479.9081861973	84313.7428492308
CLR_5	84093.5654133558	84317.1079516411	85083.2330614328	84790.7730132341	84965.1015073061	84883.7749689817	84823.5054254532	84553.9792209864	83917.6765471697	84602.8154492378	84121.3896155357	84077.8366923332	84577.5769174099	84789.3964111805	84789.4361495972	84451.1850744486	84122.9213804007	85156.3978314400	85634.6026569605	84283.5836112499	84685.4963362217	83977.0131200552	84996.3465094566	84048.6879080534	84573.4368711710	84534.3186736107	84394.3317890167	84393.6675786972	84386.8120402098	85125.2103149891
RW	84750.4310131073	84761.3240361214	84400.7322996855	84801.1915236712	84340.2585834265	84820.3030079603	84157.5138568878	84736.1944079399	84960.3330552578	84134.4521731138	84371.9429910183	84075.9013891220	84292.9833799601	84049.4016110897	84538.2947981358	84277.8255909681	83991.5010660887	84673.3501017094	84503.4695059061	84981.0915023088	84322.7841854095	84291.8276578188	84338.0378574133	83709.7881883383	84237.3875230551	84092.3683494329	85108.4905952215	84703.9150744677	83765.9883767366	84032.9905867577
CLR_2	84366.0137355328	84962.4025106430	84788.6961400509	84382.8544318676	84879.0332794189	84586.8304312229	84609.6294313669	84551.7918169498	84036.1040979624	84722.8499919176	84058.2817435265	83987.2468829155	84689.2168939114	84430.4577976465	84919.8174506426	85048.2684969902	84754.7428995371	84728.9046525955	84583.8987916708	84784.8162919283	84663.6299014091	84200.6653904915	84258.8990658522	83912.1805757284	83871.2455630302	84781.8512350321	84687.3149991035	84917.8896546364	84470.4836100340	84989.1160368919
RTS_25	83988.9598429203	83785.8228057623	83786.0646128654	83994.6052253246	84069.9275821447	83854.7299444675	84389.5490944386	84224.7266858816	83999.1483598948	84209.0111464262	84394.6351855993	84322.9234725237	83889.3967032433	84377.1017372608	84063.9187097549	84379.7520518303	84413.6417716742	84212.6990050077	84418.3514207602	84366.3284182549	83602.8130650520	83559.6612006426	84011.8853747845	83921.3271439075	83711.4414244890	84376.1958867311	84103.1895101070	84419.9974417686	84047.0194607973	84571.2836444378
RTS_2	84598.7992435694	83969.9005752802	84970.0955450535	84693.6826527119	84216.0517930984	85163.0437105894	85071.4130967855	84526.6284525394	85466.1223232746	84649.5474487543	85694.1516727209	85616.7737931013	84818.3461427689	85228.5705238581	84373.0153352022	85044.2258536816	84813.1842494011	85058.1779927015	85046.9311833382	84636.8081539869	84763.7692838907	85078.5374134779	84918.8763976097	85364.5793110132	84535.1776510477	84736.3845616579	84097.5640922785	85717.8446859121	85360.7946217060	84574.9641805887
COMB	83985.1831167936	84034.0987771749	83834.9347114563	84382.5841248035	83672.2190141678	84057.7718377113	84755.7440400124	84204.3098181486	83558.6828589439	83903.1304150820	83796.9217300415	84274.7483164072	83427.2420614958	84510.6585294008	84213.3934915066	83730.0792396069	84119.5423275232	83492.2376453876	84359.9106580019	83729.2724609375	84287.4029994011	83733.2231104374	84284.1092586517	84006.1391830444	84157.4667870998	83759.8817527294	85087.3712837696	83459.9584192038	84213.8356208801	84271.5946704149
CDRW	84904.8706501722	84507.2044849396	84072.8219568729	83779.9249351025	84126.7092704773	83877.9653251171	84333.4276080132	85025.1547217369	84362.3308390379	84760.5525434017	84371.3988602161	84053.4059226513	83742.3621058464	84413.6814266443	83776.4609128237	84005.7875394821	83630.0402671099	84727.0008027554	83965.4605448246	84346.6567933559	84513.4333491325	84325.5995512009	84468.4837013483	84634.7653836012	84459.9963456392	85465.6029969454	84270.5367803574	85304.4741541147	84142.0544892550	84097.1808761358
RTS_50	84325.0054299831	83798.1308788061	83634.9350720644	83695.2638536692	83207.7874690294	83376.0200202465	84153.6172449589	84211.2894177437	83796.7333942652	83422.4282860756	83764.4829690456	83517.2371625900	84155.8456599712	84309.2106610537	83583.6103349924	83546.7903733253	83617.9493427277	83579.9306273460	83828.7483990192	84057.6234698296	83516.2739276886	83675.1353561878	83653.8734138012	84038.4668380022	83271.2737977505	84071.9441652298	83555.9102654457	83255.3020894527	83907.9129487276	84600.6247043610
