Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84644.2754035195	84604.7786906362	451.0582901187	84651.9775558511	84644.2754035195	0.0063049038	1.4213333333	0.3666666667	
84633.0806155006	84600.8119195700	452.8280015269	84638.6524491509	84633.0806155006	0.0039415364	0.8780000000	0.4000000000	
84625.8596278230	84597.2649008036	451.1371631498	84630.0349135200	84625.8596278230	0.0032475606	0.7713333333	0.4000000000	
84619.1108706594	84592.4930125475	449.0243668298	84623.6408584317	84619.1108706594	0.0037662383	0.9613333333	0.4000000000	
84614.4156633814	84590.5966877937	448.6024374769	84617.9021796584	84614.4156633814	0.0035554053	0.9646666667	0.4000000000	
84607.4726989865	84584.0396910906	448.2656621142	84611.9428130984	84607.4726989865	0.0041927442	0.7533333333	0.4000000000	
84600.0573955973	84556.8755343556	447.3737507920	84605.4667639732	84600.0573955973	0.0041474705	0.6240000000	0.4000000000	
84595.0675045450	84556.8755343556	446.7044921151	84597.6457145810	84595.0675045450	0.0022629932	0.2666666667	0.4333333333	
84586.9380471110	84549.1892978549	445.1596719532	84592.9636167486	84586.9380471110	0.0040276316	0.7093333333	0.4333333333	
84582.2307754556	84543.6126753688	445.1228017429	84585.0882994135	84582.2307754556	0.0025271684	0.4686666667	0.4333333333	
84578.6837163568	84542.1204581857	446.1965696386	84581.1861261725	84578.6837163568	0.0021386428	0.3993333333	0.4666666667	
84573.7072929740	84538.4832382202	444.3593899216	84577.2054448724	84573.7072929740	0.0031145327	0.4900000000	0.4666666667	
84566.8737458189	84537.0348349214	443.5252803055	84569.4073779384	84566.8737458189	0.0017560929	0.4360000000	0.4666666667	
84561.6709221403	84528.7577852607	444.4533535045	84564.8261881868	84561.6709221403	0.0024298255	0.5573333333	0.4666666667	
84556.4062848687	84523.6511513591	445.0633605339	84560.4304266969	84556.4062848687	0.0020076695	0.2953333333	0.4666666667	
84551.7418203751	84521.6158613563	444.0604680215	84554.9012570580	84551.7418203751	0.0026379182	0.3586666667	0.5000000000	
84546.5413141251	84512.5792011619	443.9583506015	84549.9926201503	84546.5413141251	0.0025253675	0.4220000000	0.5000000000	
84541.6289007664	84508.5170879960	444.7986161637	84544.6928111712	84541.6289007664	0.0023614190	0.2746666667	0.5000000000	
84537.5619055827	84506.7741349339	446.1506763886	84540.3781996171	84537.5619055827	0.0017017595	0.4346666667	0.5000000000	
84533.8007464011	84502.7921512723	445.6632950579	84536.6098908583	84533.8007464011	0.0029834092	0.6726666667	0.5000000000	
84529.9918282032	84499.3938907981	445.4425242462	84531.9790486495	84529.9918282032	0.0024335528	0.3286666667	0.5000000000	
84527.3377688726	84498.2370600104	445.1106668031	84528.8760753473	84527.3377688726	0.0015874697	0.3033333333	0.5000000000	
84524.7157307466	84489.7145316005	444.5183574588	84526.6092914343	84524.7157307466	0.0016840707	0.1980000000	0.5000000000	
84522.5776958466	84489.5634785295	444.1154149764	84523.9163708687	84522.5776958466	0.0012866755	0.1680000000	0.5000000000	
84519.7918864091	84487.9587128758	444.7258548634	84521.3768839836	84519.7918864091	0.0007379764	0.1293333333	0.5000000000	
84517.7560263872	84486.6587623954	443.9973492252	84519.4992401202	84517.7560263872	0.0011855807	0.2740000000	0.5000000000	
84515.2174464862	84485.3080138564	443.9771603382	84516.3244495789	84515.2174464862	0.0010550260	0.1653333333	0.5333333333	
84512.3079667489	84483.6049094796	444.5701410036	84513.6523691813	84512.3079667489	0.0010844530	0.2920000000	0.5333333333	
84509.0452845891	84483.1788912416	445.2828696764	84511.0544710358	84509.0452845891	0.0015267266	0.2866666667	0.5333333333	
84507.7324738105	84480.8448061347	445.3750327699	84508.5159675280	84507.7324738105	0.0009356720	0.1100000000	0.5333333333	
84505.6543046236	84478.4101143479	445.2585083255	84507.2572664420	84505.6543046236	0.0014064767	0.3020000000	0.5333333333	
84503.7149127324	84478.4101143479	445.8753852738	84504.7193900744	84503.7149127324	0.0008863466	0.0940000000	0.5333333333	
84502.5090362628	84478.4101143479	445.7923653332	84503.2716880242	84502.5090362628	0.0008883747	0.2046666667	0.5333333333	
84500.3105274836	84478.0791476369	446.6099307119	84501.8376841148	84500.3105274836	0.0015463472	0.2393333333	0.5333333333	
84499.5567440987	84478.0791476369	446.5676195467	84500.1697389285	84499.5567440987	0.0008119871	0.0340000000	0.5333333333	
84498.2929992676	84476.0796770453	446.5108500834	84499.0109537045	84498.2929992676	0.0007149039	0.1760000000	0.5333333333	
84496.9280022383	84475.8125141263	445.7691429784	84497.9630732536	84496.9280022383	0.0012602873	0.2426666667	0.5333333333	
84495.3352550666	84474.2827519774	445.9520863612	84496.5846435229	84495.3352550666	0.0010344941	0.1686666667	0.5333333333	
84492.7298531930	84473.8213792443	446.2136693092	84494.0818701188	84492.7298531930	0.0010510647	0.1273333333	0.5333333333	
84491.5215259790	84473.8213792443	446.2720467779	84492.0221120119	84491.5215259790	0.0003874765	0.0420000000	0.5333333333	
84490.5055475235	84473.8213792443	446.8024796172	84491.2242851655	84490.5055475235	0.0005968503	0.1146666667	0.5333333333	
84489.6357973417	84473.2262745500	446.4211880021	84490.1689422131	84489.6357973417	0.0009561349	0.1940000000	0.5333333333	
84488.0335375667	84469.3083092570	446.9207923158	84488.9395245910	84488.0335375667	0.0011218449	0.0793333333	0.5333333333	
84487.2098893921	84468.9214572310	446.7085464065	84487.6085037986	84487.2098893921	0.0005982056	0.0320000000	0.5333333333	
84485.7915634910	84468.6048820615	447.1752866833	84486.5412677328	84485.7915634910	0.0003316055	0.0760000000	0.5333333333	
84484.2274692655	84464.2192855477	446.8765480247	84485.2229393522	84484.2274692655	0.0010426885	0.0900000000	0.5333333333	
84481.4047810435	84464.2192855477	442.8530179634	84483.8601427277	84481.4047810435	0.0005206317	0.0873333333	0.5333333333	
84480.5613226692	84462.2089937329	442.9473183726	84481.1415808399	84480.5613226692	0.0005510913	0.1013333333	0.5333333333	
84478.6959786216	84461.8171319366	441.3966502506	84480.3749023875	84478.6959786216	0.0004940009	0.0720000000	0.5333333333	
84477.0129143198	84461.7646887898	441.3905998825	84478.5070352753	84477.0129143198	0.0007935260	0.1366666667	0.5333333333	
84475.9762798746	84461.6947755218	441.1877258781	84476.5982152025	84475.9762798746	0.0007742667	0.0880000000	0.5333333333	
84474.1084157427	84460.5127379298	440.5316701956	84475.7026015719	84474.1084157427	0.0008651751	0.1366666667	0.5333333333	
84472.3112580180	84460.5127379298	439.1793363303	84473.4173058470	84472.3112580180	0.0007459877	0.0786666667	0.5333333333	
84471.0001801451	84460.5127379298	439.2838929708	84471.9428464770	84471.0001801451	0.0007145718	0.0706666667	0.5333333333	
84468.6571479837	84460.3044316173	441.5708953943	84470.7738559445	84468.6571479837	0.0012514059	0.0673333333	0.5333333333	
84467.6219655077	84459.4562217593	441.5940014146	84468.3249202371	84467.6219655077	0.0006952966	0.0493333333	0.5333333333	
84465.7062395414	84456.1537578702	440.5835137129	84467.4065226316	84465.7062395414	0.0013907935	0.2360000000	0.5333333333	
84463.8572778304	84455.6324079633	439.4094893280	84465.1431872447	84463.8572778304	0.0009675289	0.3000000000	0.5333333333	
84462.8377268712	84453.4282222390	439.2624299699	84463.6518204212	84462.8377268712	0.0004302751	0.0520000000	0.5333333333	
84461.6554540396	84453.4282222390	439.6588273685	84462.4099888404	84461.6554540396	0.0007565534	0.0493333333	0.5333333333	
84460.4491591454	84451.7769500613	440.4643734128	84461.3056574265	84460.4491591454	0.0007454575	0.1526666667	0.5333333333	
84459.7595174114	84451.5350952744	440.8529830374	84460.0875835617	84459.7595174114	0.0003538112	0.0186666667	0.5333333333	
84458.5964031021	84451.1196598411	440.9917982430	84459.4911349813	84458.5964031021	0.0004990511	0.0753333333	0.5333333333	
84457.8982536991	84451.1196598411	441.0739575768	84458.4066457550	84457.8982536991	0.0004890074	0.1180000000	0.5333333333	
