Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84722.2553442915	84673.7235993147	386.6914008926	84727.2596990069	84722.2553442915	0.0047317846	0.6440000000	0.4333333333	
84712.2242373228	84664.4697010517	383.6724247619	84720.5629039804	84712.2242373228	0.0045335392	0.7233333333	0.4333333333	
84704.3294323484	84663.5298669338	381.2027154672	84707.9826870561	84704.3294323484	0.0038724979	0.6626666667	0.4666666667	
84695.2070650458	84652.3776337504	375.7916120205	84699.8748533924	84695.2070650458	0.0033031199	0.5873333333	0.5000000000	
84690.6590750813	84648.9302590489	374.8325550366	84693.1655012568	84690.6590750813	0.0023854346	0.5253333333	0.5000000000	
84685.8044502139	84646.3554754853	375.1675553915	84688.4353743990	84685.8044502139	0.0034626137	0.8626666667	0.5000000000	
84678.6752060056	84645.4403817654	374.1395230006	84683.4794289867	84678.6752060056	0.0042676674	0.8380000000	0.5000000000	
84672.4596590797	84638.7657791376	371.4219849401	84676.7580361168	84672.4596590797	0.0037135445	0.7586666667	0.5000000000	
84668.0477387706	84635.1503014565	369.3903485122	84670.3108343482	84668.0477387706	0.0026903127	0.5086666667	0.5000000000	
84664.8643325766	84634.0354472399	369.1324278585	84666.6236485044	84664.8643325766	0.0022068593	0.4326666667	0.5000000000	
84659.3442081412	84631.3622742891	368.7126798262	84662.5956237316	84659.3442081412	0.0031110081	0.5533333333	0.5000000000	
84656.2491429846	84628.0075103045	369.5622656083	84657.7844805519	84656.2491429846	0.0017616648	0.3126666667	0.5000000000	
84651.9682648778	84624.4303405285	369.2271264172	84654.5620110631	84651.9682648778	0.0019621358	0.4060000000	0.5000000000	
84648.9055936535	84618.1604087353	369.1877675755	84650.4412008325	84648.9055936535	0.0020336587	0.2393333333	0.5000000000	
84645.4427255193	84612.8589272499	368.6476749141	84647.5025489926	84645.4427255193	0.0018262483	0.1373333333	0.5000000000	
84643.3761929472	84608.4996104240	367.9319144386	84644.3396646778	84643.3761929472	0.0012693028	0.1200000000	0.5000000000	
84640.4333272576	84602.6792436838	368.8124811934	84642.1699656049	84640.4333272576	0.0023776846	0.3500000000	0.5000000000	
84634.9467659990	84591.2062644958	371.2558504878	84638.7559077144	84634.9467659990	0.0014857632	0.3600000000	0.5000000000	
84629.0837828318	84589.2467200756	370.2923627422	84632.7317026258	84629.0837828318	0.0031707410	0.4193333333	0.5000000000	
84624.8984193802	84589.2467200756	369.7952775553	84627.3203565677	84624.8984193802	0.0021643634	0.4100000000	0.5000000000	
84621.8878444036	84584.2927038670	369.0950257869	84623.9729640881	84621.8878444036	0.0019038921	0.2826666667	0.5000000000	
84615.4651145140	84582.5808197260	365.0383962352	84617.2336236636	84615.4651145140	0.0019697137	0.3640000000	0.5000000000	
84612.9856373866	84580.7565838099	365.1013417670	84614.6872901917	84612.9856373866	0.0017037448	0.2886666667	0.5000000000	
84609.8046875000	84579.0422886610	365.0224761156	84611.3281812270	84609.8046875000	0.0014263210	0.2560000000	0.5000000000	
84607.5159678857	84578.9956122637	365.4122269614	84608.3376334111	84607.5159678857	0.0008336302	0.0913333333	0.5000000000	
84603.7318617105	84577.1694332361	367.8053072599	84605.6965380907	84603.7318617105	0.0010976870	0.1013333333	0.5000000000	
84600.3725777070	84576.9270569086	367.5048260518	84603.1720109781	84600.3725777070	0.0022069342	0.2306666667	0.5000000000	
84598.8037691514	84576.3388454914	367.0783041149	84599.7908778985	84598.8037691514	0.0012490954	0.1900000000	0.5000000000	
84595.6801607211	84575.8834272623	367.7150906322	84597.0554794868	84595.6801607211	0.0014073738	0.0980000000	0.5000000000	
84593.5658210516	84574.4399636984	368.1844238822	84594.7701593240	84593.5658210516	0.0010325914	0.2033333333	0.5000000000	
84591.4314248164	84570.4906165600	368.0674709662	84593.0826493104	84591.4314248164	0.0013469448	0.2280000000	0.5000000000	
84590.2239517371	84570.3472107649	367.8692501683	84590.7717009385	84590.2239517371	0.0010034477	0.1106666667	0.5000000000	
84586.9934652249	84567.5261870027	367.4286448069	84588.9872197310	84586.9934652249	0.0014842178	0.3040000000	0.5000000000	
84584.2703373234	84557.9519256949	367.7452446351	84586.0608995954	84584.2703373234	0.0009629856	0.1826666667	0.5333333333	
84581.7995318770	84545.1336219907	367.9337044480	84582.9887776573	84581.7995318770	0.0009676495	0.2026666667	0.5333333333	
84578.8565892975	84527.7988091111	368.6196960803	84580.8413498600	84578.8565892975	0.0013563632	0.2440000000	0.5333333333	
84575.4606744647	84522.1980646253	369.6961120631	84577.7319102486	84575.4606744647	0.0015552235	0.2333333333	0.5666666667	
84572.1700542172	84518.4058651328	371.3734107236	84574.4326840838	84572.1700542172	0.0012264836	0.1226666667	0.5666666667	
84569.5910819371	84515.3484210372	371.8927337883	84571.3209882379	84569.5910819371	0.0012076718	0.1526666667	0.5666666667	
84566.8079811335	84513.9740064740	374.2358897231	84567.3284777005	84566.8079811335	0.0005421185	0.0646666667	0.5666666667	
84564.8532915115	84511.2901076674	375.1151179983	84566.4110612869	84564.8532915115	0.0008211523	0.2780000000	0.5666666667	
84562.4234843254	84505.0132438540	374.3809627130	84563.9322121938	84562.4234843254	0.0010869721	0.1526666667	0.5666666667	
84559.6920927366	84489.0436545014	375.1788941901	84561.6265821457	84559.6920927366	0.0012281065	0.3393333333	0.5666666667	
84557.0046472549	84484.1486588120	376.0071686043	84558.3086989323	84557.0046472549	0.0012741322	0.0873333333	0.5666666667	
84555.2949090799	84483.7152555585	376.2804196554	84556.4764334758	84555.2949090799	0.0009175428	0.1486666667	0.5666666667	
84553.8697034121	84483.6422130466	376.9561847200	84554.7148124377	84553.8697034121	0.0007538101	0.0540000000	0.5666666667	
84553.4653778871	84483.5584208369	377.1376165522	84553.7088388205	84553.4653778871	0.0002756947	0.0520000000	0.5666666667	
84552.4591978391	84480.7097539306	377.0723906830	84553.1953169902	84552.4591978391	0.0009843941	0.1280000000	0.5666666667	
84550.9497466683	84480.1214739680	376.5488495533	84551.9955860575	84550.9497466683	0.0011652773	0.1553333333	0.5666666667	
