Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84732.8558372458	84740.0043323636	592.5745194405	84750.5221451322	84732.8558372458	0.0082946928	3.5933333333	0.3666666667	
84725.7650445898	84722.1195504069	591.9079220774	84737.6187146703	84725.7650445898	0.0068678369	2.3606666667	0.3666666667	
84718.6878960331	84703.1342759728	592.4890708217	84727.4123588204	84718.6878960331	0.0048918613	1.1640000000	0.3666666667	
84712.6139562329	84701.5148997307	593.4364949366	84720.3741662701	84712.6139562329	0.0061904444	2.3773333333	0.3666666667	
84704.3634170294	84698.2797622681	595.9686886269	84714.6733249227	84704.3634170294	0.0059073387	1.9360000000	0.3666666667	
84698.3933654428	84697.9466915131	595.5893740064	84709.1351415714	84698.3933654428	0.0054016196	1.2580000000	0.4000000000	
84692.3041157921	84694.5581227541	595.7101666973	84702.1257949869	84692.3041157921	0.0054521095	1.4206666667	0.4000000000	
84688.1390902400	84693.6115980148	596.5597240039	84694.1025458773	84688.1390902400	0.0042241311	0.9973333333	0.4000000000	
84683.2907649875	84691.1048978567	596.2375848251	84690.5645460884	84683.2907649875	0.0051771548	1.2113333333	0.4000000000	
84679.3785602848	84689.0507698059	595.6184600273	84684.8407629132	84679.3785602848	0.0037891407	0.8213333333	0.4000000000	
84676.2083783746	84686.4346563816	595.2436648552	84680.6761824091	84676.2083783746	0.0034379932	0.9606666667	0.4000000000	
84671.2752821048	84685.1261168718	595.7661368909	84678.8613972068	84671.2752821048	0.0047757275	1.1440000000	0.4666666667	
84665.6461675962	84684.1869726777	596.8549246713	84673.8860285282	84665.6461675962	0.0043504157	1.1160000000	0.4666666667	
84656.8498617411	84677.7030870318	597.9389023705	84670.4024058580	84656.8498617411	0.0047590559	2.0126666667	0.4666666667	
84652.6429202159	84673.9017978311	597.8785273295	84658.2889503241	84652.6429202159	0.0035184348	0.9060000000	0.4666666667	
84648.5896338026	84669.3269088864	598.7649747663	84657.8781537215	84648.5896338026	0.0039216204	1.0313333333	0.4666666667	
84643.2218951980	84667.9668471217	599.4352830567	84653.7614670396	84643.2218951980	0.0044808466	1.1173333333	0.4666666667	
