Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
83987.1226843198	84011.4697605371	281.2222540042	85227.8148141503	83987.1226843198	0.2993674550	667.2493333333	0.4666666667	
83983.3635979891	84007.8802824020	279.8149745444	85216.6309911013	83983.3635979891	0.2972763755	659.8073333333	0.4666666667	
83979.9476021528	84007.8802824020	281.5401920716	85206.2582824628	83979.9476021528	0.2953015357	654.7293333333	0.4666666667	
83973.8830054800	83993.9539328218	279.0375838937	85197.2233271599	83973.8830054800	0.2932905933	649.0200000000	0.4666666667	
83970.6879823406	83983.0633863807	279.0145566542	85192.8753484289	83970.6879823406	0.2912133430	642.6980000000	0.4666666667	
83964.9810770154	83979.9842372537	278.7111576597	85185.9732741117	83964.9810770154	0.2896435374	634.6513333333	0.4666666667	
83958.7666256229	83975.1600280404	275.8995823144	85177.2533742587	83958.7666256229	0.2882203391	629.5026666667	0.4666666667	
83955.2419947584	83975.1600280404	274.4273061248	85168.9150593678	83955.2419947584	0.2865473466	623.3633333333	0.4666666667	
83951.5284578999	83975.1600280404	275.9587189223	85154.9760334690	83951.5284578999	0.2851242433	618.6280000000	0.4666666667	
83947.6029778520	83969.6461737156	275.2025911505	85148.7126963337	83947.6029778520	0.2838544995	612.8680000000	0.4666666667	
83943.3439569672	83969.6461737156	272.8532691724	85135.1319183906	83943.3439569672	0.2825447502	609.0380000000	0.4666666667	
83940.4424817363	83965.2125358582	271.8935323219	85128.5050977270	83940.4424817363	0.2809665150	603.9000000000	0.4666666667	
83938.5354599357	83965.2125358582	272.4101746499	85122.7351457874	83938.5354599357	0.2797611985	599.4533333333	0.4666666667	
83936.5589089195	83963.7857317924	272.3822204709	85116.0169206063	83936.5589089195	0.2781518282	593.6713333333	0.4666666667	
83932.5136443973	83953.2070398331	270.4070251847	85110.0593977173	83932.5136443973	0.2771575158	588.6206666667	0.5000000000	
83929.9740333358	83953.1789004803	269.9669777133	85101.5771451592	83929.9740333358	0.2760276902	583.9053333333	0.5000000000	
83928.2681054870	83953.1789004803	270.2899744131	85097.8031250834	83928.2681054870	0.2750269618	579.6153333333	0.5000000000	
83926.3151841362	83952.1513819695	270.0714042770	85091.1407089233	83926.3151841362	0.2739130718	576.9493333333	0.5000000000	
83921.9891404112	83944.8924332857	268.0860953745	85086.5164661407	83921.9891404112	0.2731714946	572.7506666667	0.5000000000	
83920.5527477463	83944.8924332857	268.1353246132	85082.1179437637	83920.5527477463	0.2720113481	570.2146666667	0.5000000000	
83918.3669689298	83943.7981128693	267.3839616542	85079.1112472614	83918.3669689298	0.2710637495	566.8226666667	0.5000000000	
83915.8449716369	83942.9824084044	267.1896328336	85073.0244810383	83915.8449716369	0.2702654805	564.0406666667	0.5000000000	
83912.7445374926	83938.9533132315	267.4081755518	85066.3976096113	83912.7445374926	0.2693461996	559.1720000000	0.5000000000	
83910.0403075417	83928.1098812819	266.9117368760	85060.1803445816	83910.0403075417	0.2685130002	555.2280000000	0.5000000000	
83906.2257561088	83928.1098812819	267.0086689278	85053.6335563660	83906.2257561088	0.2675354938	550.6946666667	0.5000000000	
83902.4179966251	83925.5450516939	265.5640911939	85047.6077786088	83902.4179966251	0.2667645978	547.8533333333	0.5000000000	
83900.6399101019	83925.5450516939	264.8379186025	85042.3960052927	83900.6399101019	0.2661544099	545.5220000000	0.5000000000	
83897.8849826256	83918.1049510837	263.6359606219	85040.7476416230	83897.8849826256	0.2650727102	541.4080000000	0.5000000000	
83895.3474313021	83917.1451434493	261.9530802924	85037.4237689376	83895.3474313021	0.2642603547	538.2386666667	0.5000000000	
83894.4110888243	83917.1451434493	262.0695641725	85034.1876402497	83894.4110888243	0.2633404859	535.2233333333	0.5000000000	
83892.4684566259	83911.7855355144	261.4598809241	85028.6279785633	83892.4684566259	0.2625193465	533.6746666667	0.5333333333	
83888.3296857278	83911.7324456573	259.0618166575	85022.3274506132	83888.3296857278	0.2617625419	531.0000000000	0.5333333333	
83885.0240476926	83907.9325079918	258.1794229284	85020.0741941730	83885.0240476926	0.2611383260	529.1053333333	0.5666666667	
83883.8717792432	83907.3431670666	258.5317151365	85016.8261034290	83883.8717792432	0.2601908844	526.5953333333	0.5666666667	
83882.5685393810	83901.4599934220	258.8143442485	85012.4221291145	83882.5685393810	0.2594890667	523.8293333333	0.5666666667	
83880.9944438934	83900.0553771853	259.1200314724	85009.7041534384	83880.9944438934	0.2586124862	520.2353333333	0.5666666667	
83879.7967328628	83898.2541516423	259.5807679831	85007.9783037305	83879.7967328628	0.2577304975	516.7673333333	0.5666666667	
83878.6603701115	83898.2541516423	260.0909221058	85004.3893962105	83878.6603701115	0.2570396855	514.5533333333	0.5666666667	
83877.3174214363	83896.2038323283	259.6433696552	85002.3096467058	83877.3174214363	0.2561593517	511.8573333333	0.5666666667	
83875.6005386512	83890.6864032149	259.0864796966	84998.5009523233	83875.6005386512	0.2555770425	509.8220000000	0.5666666667	
83872.6785818736	83883.9245483279	260.1322894863	84996.0159869989	83872.6785818736	0.2543278134	506.5120000000	0.5666666667	
83870.7406045000	83883.3787009120	259.0899495648	84990.7418016593	83870.7406045000	0.2536622683	503.6640000000	0.5666666667	
83868.9619905750	83879.9638643861	258.5493719315	84986.8261872729	83868.9619905750	0.2526742429	499.6220000000	0.5666666667	
83867.6763642828	83879.4156149030	258.1307951251	84984.0038552880	83867.6763642828	0.2519652699	496.3713333333	0.5666666667	
83865.9154642622	83875.0274851918	257.9326628064	84982.7038990458	83865.9154642622	0.2510352265	493.9073333333	0.5666666667	
83864.4146270553	83867.4617275596	257.3954089438	84979.7811991970	83864.4146270553	0.2501103890	491.4160000000	0.6000000000	
83863.5331603885	83867.4617275596	257.2780727581	84974.0356158217	83863.5331603885	0.2495847929	490.3120000000	0.6000000000	
83861.6559985280	83867.4617275596	257.4408226639	84971.5982235471	83861.6559985280	0.2490635986	489.3153333333	0.6000000000	
83859.5831613739	83864.3127068877	257.3723797988	84966.7042533557	83859.5831613739	0.2482904415	487.5886666667	0.6000000000	
83858.3671109875	83859.8740532994	257.4261998242	84963.5471814871	83858.3671109875	0.2474994199	485.1486666667	0.6000000000	
83856.1021058758	83859.2179849744	258.0219796239	84961.0178293784	83856.1021058758	0.2468103369	483.5633333333	0.6000000000	
83855.0649008155	83859.2179849744	258.2238249704	84959.0325160821	83855.0649008155	0.2461599644	481.9293333333	0.6000000000	
83853.6159657439	83849.6189996600	258.7454158697	84957.1407134334	83853.6159657439	0.2455604377	479.7486666667	0.6000000000	
83851.9428437948	83846.7916250229	257.4594583858	84955.1292362809	83851.9428437948	0.2450035101	478.9080000000	0.6000000000	
83850.3826244672	83837.6565128565	256.9584363707	84951.4403487245	83850.3826244672	0.2441296242	476.1440000000	0.6000000000	
83848.8412517309	83837.6565128565	256.6782570090	84949.0277509888	83848.8412517309	0.2433452976	472.7446666667	0.6000000000	
83847.8272346656	83837.6565128565	255.4848432792	84945.4369411866	83847.8272346656	0.2426057093	470.0846666667	0.6000000000	
83846.6978869836	83831.6988676786	255.5762796859	84943.4633523226	83846.6978869836	0.2419163811	467.8646666667	0.6000000000	
83845.8863151073	83830.7265698910	255.9121028062	84941.2335749467	83845.8863151073	0.2412643356	467.0833333333	0.6000000000	
83845.3893287977	83830.3437888622	255.6023286833	84938.5992181301	83845.3893287977	0.2405225777	464.1486666667	0.6000000000	
