Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84008.3547834555	84108.3165928721	318.3335859110	87228.8364893198	84008.3547834555	0.3818338932	1100.8773333333	0.4666666667	
84006.9842350483	84108.3165928721	318.3504904732	87199.5439251264	84006.9842350483	0.3829154792	1101.3340000000	0.4666666667	
84005.1964212457	84108.3165928721	317.8302841157	87077.1179019411	84005.1964212457	0.3808693182	1097.2100000000	0.4666666667	
84003.9363693198	84108.0156490207	318.1929378681	87001.5567488472	84003.9363693198	0.3809061682	1097.1553333333	0.4666666667	
84002.4529261390	84103.1873479486	317.7809483511	87346.6358727217	84002.4529261390	0.3833662586	1099.9780000000	0.4666666667	
84001.2304659684	84103.1873479486	317.9469629167	87272.6402168473	84001.2304659684	0.3806067232	1093.1160000000	0.4666666667	
83999.6671901147	84103.1873479486	318.1763528175	87420.2537605166	83999.6671901147	0.3826750442	1097.8553333333	0.4666666667	
83999.0172733863	84103.1784206629	318.4573538941	87445.4879807432	83999.0172733863	0.3801496678	1092.1940000000	0.4666666667	
83997.2929114103	84101.0961875319	318.5072495400	87087.3739809791	83997.2929114103	0.3766441620	1081.7360000000	0.4666666667	
83996.5591698885	84097.1269637346	318.4679529112	87197.3437047998	83996.5591698885	0.3772007788	1083.4766666667	0.4666666667	
83995.4895416896	84085.3696793318	318.0520641513	87221.7999753356	83995.4895416896	0.3779453169	1084.9873333333	0.5000000000	
83994.2301346858	84083.6353018880	318.4013608164	87239.0171450377	83994.2301346858	0.3785304148	1086.0073333333	0.5000000000	
83993.9762771130	84083.6353018880	318.4880305623	87318.6338938276	83993.9762771130	0.3801270912	1089.5960000000	0.5000000000	
83992.2984665632	84069.0235644579	318.4041892308	87467.3090290030	83992.2984665632	0.3801665114	1093.1520000000	0.5000000000	
83990.9843756755	84069.0235644579	317.6807898876	87215.7312762737	83990.9843756755	0.3785984926	1086.6706666667	0.5000000000	
83990.7086716096	84069.0235644579	317.9127608540	87083.2825137178	83990.7086716096	0.3766848333	1084.9300000000	0.5000000000	
83990.3730048736	84069.0235644579	317.9692064322	87204.5180491606	83990.3730048736	0.3767089973	1079.4600000000	0.5000000000	
83989.6842628717	84063.8527780771	317.9276323370	87049.9908623099	83989.6842628717	0.3767730849	1083.1560000000	0.5000000000	
83989.4771805406	84063.5927408934	317.6270316252	87155.0338312984	83989.4771805406	0.3815213880	1096.1393333333	0.5000000000	
83988.0580621958	84063.5927408934	317.3780585438	87195.1167494059	83988.0580621958	0.3786934078	1091.5953333333	0.5000000000	
83987.6974161466	84063.5927408934	317.4294817350	87259.9463703235	83987.6974161466	0.3799219995	1090.7333333333	0.5000000000	
83987.1139083306	84057.1149617434	317.3255039178	87279.7183910012	83987.1139083306	0.3761987024	1082.8020000000	0.5000000000	
83986.0656474034	84055.2500575781	316.8644501283	87185.5178078016	83986.0656474034	0.3785456793	1087.1140000000	0.5000000000	
83985.6106005112	84053.1533509493	316.4978638213	87216.3268666466	83985.6106005112	0.3776192541	1084.7833333333	0.5000000000	
83985.4775649309	84053.1533509493	316.6866796302	87168.7472468615	83985.4775649309	0.3781086258	1087.2346666667	0.5000000000	
83985.0880090396	84050.0335186720	316.4007575765	87401.9723330935	83985.0880090396	0.3775362650	1086.2426666667	0.5000000000	
83984.0160326163	84044.5118337870	315.9841889176	87159.9647641182	83984.0160326163	0.3781547459	1086.7973333333	0.5000000000	
83982.6835022370	84044.5118337870	315.0488388153	87224.3149676919	83982.6835022370	0.3761198433	1084.0613333333	0.5000000000	
83981.6761551301	84043.5954511166	315.0417096673	87185.9306501349	83981.6761551301	0.3783395848	1088.2126666667	0.5000000000	
83981.0981869698	84043.5954511166	315.3209699806	87148.4384893378	83981.0981869698	0.3782707621	1088.1926666667	0.5000000000	
83981.0244280100	84043.5954511166	315.3415568524	87460.3458075722	83981.0244280100	0.3828609307	1099.6420000000	0.5000000000	
83979.8496603966	84043.5954511166	314.7437964309	87159.6961290638	83979.8496603966	0.3785581718	1089.1473333333	0.5000000000	
83978.9431438843	84043.0693805218	314.9734344123	87300.4511167606	83978.9431438843	0.3786332217	1089.1173333333	0.5000000000	
83978.1215157111	84039.3113583326	315.2499560326	87105.2733688553	83978.1215157111	0.3764383623	1081.2946666667	0.5000000000	
83978.0885297060	84039.3113583326	315.2218675541	87258.2278195024	83978.0885297060	0.3783727900	1085.3546666667	0.5000000000	
83977.7704120676	84039.1957402229	315.4412394237	87197.5599906842	83977.7704120676	0.3795772342	1091.7466666667	0.5000000000	
83977.5343792637	84039.1957402229	315.8065144647	87415.1878026128	83977.5343792637	0.3795305288	1087.9453333333	0.5000000000	
83976.8514510989	84034.3983203173	315.6169106261	87297.5739449263	83976.8514510989	0.3778718925	1084.5220000000	0.5000000000	
83976.4761464794	84034.3983203173	316.1864542604	87201.0848871867	83976.4761464794	0.3762536584	1079.4606666667	0.5000000000	
83976.2624244889	84034.3983203173	316.1438243460	87288.9187008142	83976.2624244889	0.3769017685	1080.2826666667	0.5000000000	
83976.1799143751	84034.3983203173	316.0718823755	87094.9228503307	83976.1799143751	0.3769691951	1082.7453333333	0.5000000000	
83976.0911505421	84034.3983203173	316.1410822212	87246.7892114321	83976.0911505421	0.3759836106	1077.7300000000	0.5000000000	
83975.3190607826	84032.7519088984	315.3345234932	87197.5011610985	83975.3190607826	0.3733963256	1072.7420000000	0.5000000000	
83974.6460502346	84032.7519088984	315.5585969025	87117.6195636392	83974.6460502346	0.3748999886	1077.7960000000	0.5000000000	
83974.3877467513	84032.7519088984	315.7253125277	87163.0617768566	83974.3877467513	0.3788467588	1086.7220000000	0.5000000000	
83973.8586168488	84028.3407479525	315.6142091905	87115.7887767752	83973.8586168488	0.3777027380	1083.7940000000	0.5000000000	
83972.7373006940	84028.3407479525	315.5513885635	87314.9069640040	83972.7373006940	0.3795001890	1082.2040000000	0.5000000000	
83971.4088163773	84025.4667192698	316.6068295929	87520.1096510887	83971.4088163773	0.3764697689	1079.8613333333	0.5000000000	
83970.9867417812	84025.4667192698	316.3459841198	87343.9626154304	83970.9867417812	0.3778650542	1082.2546666667	0.5000000000	
83970.2585529288	84023.1582194567	316.4757822543	87281.3621936242	83970.2585529288	0.3766936403	1079.8300000000	0.5000000000	
83969.1522907217	84023.1582194567	318.1883703141	87431.3266171018	83969.1522907217	0.3774839399	1085.4346666667	0.5000000000	
83968.3378611008	84023.1582194567	317.2971405675	87226.0430567463	83968.3378611008	0.3784849857	1088.4020000000	0.5000000000	
83968.3367127180	84023.1582194567	317.2980217864	87164.3727831046	83968.3367127180	0.3776001269	1082.1926666667	0.5000000000	
83968.1213621299	84023.1582194567	317.5803352374	87401.3998839259	83968.1213621299	0.3735987268	1070.1760000000	0.5000000000	
83967.5708960493	84023.1582194567	317.4871218351	87203.7144906322	83967.5708960493	0.3777125608	1082.2020000000	0.5000000000	
83967.0191314816	84020.4409211874	317.1986465286	87044.3665884932	83967.0191314816	0.3779527652	1082.8733333333	0.5000000000	
83966.7028138041	84020.4409211874	317.0105119961	87285.1536691189	83966.7028138041	0.3803130095	1091.1933333333	0.5000000000	
83966.0744654139	84020.4409211874	316.7186019721	87077.6739384731	83966.0744654139	0.3771094345	1081.2306666667	0.5000000000	
83965.4202837745	84015.5515491962	316.4463885512	87155.7651960850	83965.4202837745	0.3767346755	1084.1800000000	0.5000000000	
83965.1615880926	84015.4383003712	316.3092482123	86957.5663423538	83965.1615880926	0.3758794471	1080.8213333333	0.5000000000	
83964.9956004818	84015.4383003712	316.3198931750	87340.3891612093	83964.9956004818	0.3780124548	1085.3193333333	0.5000000000	
83964.6411700050	84015.4383003712	315.9016359659	87284.3212829034	83964.6411700050	0.3784621245	1087.0286666667	0.5000000000	
83964.2501919468	84015.4383003712	316.1943280004	87318.8368350267	83964.2501919468	0.3807763422	1093.9306666667	0.5000000000	
83963.5270290573	84012.3784899712	316.2000032883	87169.2080595096	83963.5270290573	0.3789075126	1090.4306666667	0.5333333333	
83963.1702590982	84012.3784899712	315.9877057335	87251.1571581165	83963.1702590982	0.3809087802	1095.2973333333	0.5333333333	
83962.0816968878	84012.3784899712	315.9355304425	87468.3400010069	83962.0816968878	0.3816854158	1097.6820000000	0.5333333333	
83961.0500147939	84007.7628314495	315.7096262211	87276.7127590378	83961.0500147939	0.3790847799	1092.2760000000	0.5333333333	
83960.5587467551	84005.4555803537	316.0671512952	87202.8463932872	83960.5587467551	0.3777216684	1085.6633333333	0.5333333333	
83960.2546992898	84005.4555803537	316.5086767726	87128.7814961870	83960.2546992898	0.3764936005	1079.5286666667	0.5333333333	
83959.4968868295	84005.4218858480	316.7250274202	86983.5953745246	83959.4968868295	0.3753733569	1079.1926666667	0.5333333333	
83959.1054887573	84003.2012313604	316.6586582167	87159.9396461248	83959.1054887573	0.3753443139	1079.6173333333	0.5333333333	
83958.8417771459	84003.2012313604	316.8141166369	87302.2657121221	83958.8417771459	0.3784853549	1085.7426666667	0.5333333333	
83957.9974433780	84003.2012313604	317.2450209351	87210.0374978781	83957.9974433780	0.3785795798	1085.9360000000	0.5333333333	
83957.5900386771	84001.8264651299	317.2007703822	87401.5389364958	83957.5900386771	0.3772406389	1081.8420000000	0.5333333333	
83957.0064348976	84001.8264651299	317.4532074723	87328.0600909392	83957.0064348976	0.3776240388	1083.7380000000	0.5333333333	
83956.3346659144	84001.8264651299	317.6040865573	87260.0851172209	83956.3346659144	0.3793664813	1090.0466666667	0.5333333333	
83955.6966470679	83997.6149141788	317.5306784619	87196.5510491530	83955.6966470679	0.3792045924	1084.9253333333	0.5333333333	
83955.3933132688	83997.6149141788	317.6087735542	87198.7482366959	83955.3933132688	0.3780755734	1084.5920000000	0.5333333333	
83954.1190740466	83997.6149141788	318.9982860306	87048.2812197010	83954.1190740466	0.3785003605	1086.0400000000	0.5333333333	
83952.7711327871	83996.6241657734	318.8915902245	87338.5819342732	83952.7711327871	0.3763597913	1077.9813333333	0.5666666667	
83952.6336725553	83996.6241657734	318.9077767982	87164.1052082181	83952.6336725553	0.3765320255	1078.8393333333	0.5666666667	
83952.1305364370	83996.6241657734	318.7812239822	87178.1149018804	83952.1305364370	0.3746588332	1076.1200000000	0.5666666667	
83951.9959491491	83996.6241657734	318.6900440537	87228.6237530907	83951.9959491491	0.3756842158	1076.5993333333	0.5666666667	
83951.7145365477	83996.6241657734	318.7745165593	87237.0456921061	83951.7145365477	0.3771138436	1079.6046666667	0.5666666667	
