Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84150.5397292972	84167.7345916629	373.6319142246	84189.2345804970	84150.5397292972	0.0258685211	39.6520000000	0.5666666667	
84149.3314527472	84166.6673853993	373.7403191259	84188.1264961759	84149.3314527472	0.0260753426	39.0780000000	0.5666666667	
84148.3980972568	84166.2293568254	374.0046614502	84186.3055059314	84148.3980972568	0.0260540897	40.6340000000	0.5666666667	
84147.0749154687	84166.1785170436	373.3988913140	84177.9364798466	84147.0749154687	0.0247394345	39.2726666667	0.5666666667	
84145.7303226988	84165.5144408345	373.0077713749	84176.4259936412	84145.7303226988	0.0244059471	38.0960000000	0.5666666667	
84144.9728366733	84165.4340967536	372.9178702916	84173.1037551165	84144.9728366733	0.0238405212	37.3253333333	0.5666666667	
84144.2188524206	84161.2285509706	372.6730237750	84171.9403549035	84144.2188524206	0.0229951387	36.1760000000	0.5666666667	
84143.7470033765	84160.7087656856	372.7169411302	84168.9837450783	84143.7470033765	0.0227064690	35.7653333333	0.5666666667	
84142.6002133886	84160.4864314198	372.4612542494	84168.6389721433	84142.6002133886	0.0229581066	36.5413333333	0.5666666667	
84141.9499579072	84160.0782260299	372.7279602725	84168.0322747429	84141.9499579072	0.0233538394	36.6093333333	0.5666666667	
84140.2771982551	84159.7483947873	372.9873536586	84167.0359486341	84140.2771982551	0.0236436937	36.7440000000	0.5666666667	
84139.3349847198	84159.3742623925	373.1490269307	84167.0181715488	84139.3349847198	0.0241249561	37.5773333333	0.5666666667	
84137.5850819548	84158.5145220160	372.3395371558	84163.0161211888	84137.5850819548	0.0229077147	35.4326666667	0.5666666667	
84137.0949324965	84157.6695665717	372.6056635395	84162.3210350672	84137.0949324965	0.0223970690	34.6173333333	0.5666666667	
84136.1251303554	84157.0772185922	372.3107093222	84160.8770057559	84136.1251303554	0.0224660269	34.0206666667	0.5666666667	
84135.6975091497	84156.6514357924	372.3493791726	84159.3434515595	84135.6975091497	0.0222679719	34.0713333333	0.5666666667	
84134.8353303472	84156.1740204692	372.4131121680	84158.9738147457	84134.8353303472	0.0224180634	34.4766666667	0.5666666667	
84133.4660932422	84154.5913591981	372.2228127038	84158.5932915409	84133.4660932422	0.0218575337	33.9846666667	0.5666666667	
84132.5132426620	84153.5201534629	372.8479376883	84156.9512346387	84132.5132426620	0.0213039504	32.9073333333	0.5666666667	
84130.6399815281	84152.7347698808	373.2430839486	84154.2300576965	84130.6399815281	0.0208825059	32.0320000000	0.5666666667	
84129.9756794174	84152.0151153207	373.3765365365	84153.1740197539	84129.9756794174	0.0211627644	31.6113333333	0.5666666667	
84129.3373160561	84151.5686735511	373.1212996560	84152.8067953388	84129.3373160561	0.0210718779	32.4106666667	0.5666666667	
84128.6643865705	84151.5686735511	372.7623027761	84152.7335359653	84128.6643865705	0.0209465306	32.8446666667	0.5666666667	
84128.4390665094	84151.5206024051	372.7701199993	84151.9694314400	84128.4390665094	0.0204986777	31.6133333333	0.5666666667	
84127.3565478126	84151.4481797814	372.3834367606	84150.7455956936	84127.3565478126	0.0201105420	30.2786666667	0.5666666667	
84126.8881665667	84151.3248220086	372.3093911855	84150.3888303041	84126.8881665667	0.0198039456	30.1026666667	0.5666666667	
84126.4528013269	84151.3248220086	372.1536905831	84149.1078811884	84126.4528013269	0.0196991666	30.1486666667	0.5666666667	
84125.8100945751	84151.1883959174	372.5700771278	84148.1951560577	84125.8100945751	0.0193903261	30.1166666667	0.5666666667	
84125.2388585607	84151.0839059949	372.5625245589	84148.3134458462	84125.2388585607	0.0197448140	30.5446666667	0.5666666667	
84124.8311711351	84150.9621158242	372.4738626031	84147.4929686387	84124.8311711351	0.0196672139	30.8233333333	0.5666666667	
84124.1177011530	84150.9476199746	373.0575263966	84147.0709413290	84124.1177011530	0.0198579136	31.3466666667	0.5666666667	
84123.4270581603	84150.4105940461	372.8280367894	84146.2381660938	84123.4270581603	0.0197114187	30.2340000000	0.5666666667	
84122.9783720772	84150.3583535552	372.8675871421	84145.4211290677	84122.9783720772	0.0195976561	29.9046666667	0.5666666667	
84122.4505077799	84144.3172916770	372.8417994959	84146.7570378383	84122.4505077799	0.0192277228	29.8786666667	0.5666666667	
84121.5361480912	84142.9278448224	372.7937346997	84146.6894608736	84121.5361480912	0.0192287816	29.6600000000	0.6000000000	
84120.2944667141	84135.6169298291	372.5032692457	84144.1273504496	84120.2944667141	0.0196524473	29.9273333333	0.6000000000	
84120.0286981463	84134.4671145082	372.4859202029	84142.9900614421	84120.0286981463	0.0191172731	28.9513333333	0.6000000000	
84119.8316016793	84133.2501694560	372.5448124903	84140.9424674511	84119.8316016793	0.0184378207	27.6840000000	0.6000000000	
84118.9044645429	84125.1700088382	372.5773143412	84140.5004698038	84118.9044645429	0.0186213836	28.4080000000	0.6000000000	
84118.3265351256	84124.8712226748	372.6060923580	84140.6526243687	84118.3265351256	0.0188053314	28.7826666667	0.6000000000	
84118.1382442514	84124.1727665067	372.5814518654	84138.4801679850	84118.1382442514	0.0184593373	28.2313333333	0.6000000000	
84116.8100522955	84123.1835648417	373.6333991772	84135.4150507848	84116.8100522955	0.0181781308	27.8333333333	0.6000000000	
84113.9774166544	84122.7363273501	375.8379182253	84148.6585787932	84113.9774166544	0.0193828151	28.5953333333	0.6000000000	
84113.6065285404	84121.2657287717	376.0067949317	84148.6110478640	84113.6065285404	0.0191898952	29.6400000000	0.6000000000	
84112.9163244367	84121.2657287717	376.6533042812	84141.7468287547	84112.9163244367	0.0186268368	28.6940000000	0.6000000000	
84109.8697641492	84120.9467187524	379.9781509633	84136.6279953718	84109.8697641492	0.0184118446	28.0140000000	0.6000000000	
84109.2016387979	84120.7858070731	379.9522921810	84132.7161047856	84109.2016387979	0.0183056922	27.6393333333	0.6000000000	
