Mean	Median	StdDev	Max	Min	Entropy	Hamming	RLD
84802.9554504156	84755.0603285432	434.0595327594	84807.3450606068	84802.9554504156	0.0007434284	0.2800000000	0.5333333333	
84799.9780271451	84754.6540334821	433.5692018282	84801.0719885429	84799.9780271451	0.0005796171	0.1480000000	0.5333333333	
84796.0131732623	84744.5715501904	429.9692541357	84797.8079847495	84796.0131732623	0.0006411832	0.1200000000	0.5333333333	
84794.4361533721	84744.2733243108	429.7808593647	84794.8127641280	84794.4361533721	0.0001778168	0.0326666667	0.5333333333	
84790.5522368352	84744.0477535129	427.6016532152	84791.6697804133	84790.5522368352	0.0005704834	0.1480000000	0.5333333333	
84786.7500583331	84740.1319012046	425.8286064518	84787.3624261220	84786.7500583331	0.0003859543	0.0313333333	0.5333333333	
84783.2661557198	84735.0269988179	422.4808198425	84785.0873665015	84783.2661557198	0.0004444932	0.1240000000	0.5333333333	
84780.1769896348	84728.2755181193	421.4265000165	84781.4987347523	84780.1769896348	0.0006989914	0.1260000000	0.5333333333	
84775.2987608314	84715.2781918645	420.8394743929	84778.9033941428	84775.2987608314	0.0009152432	0.1913333333	0.5333333333	
84770.9803615014	84713.6646375060	423.2926393033	84772.8720110655	84770.9803615014	0.0007368080	0.3000000000	0.5333333333	
84767.9593523343	84713.6646375060	418.9811221854	84768.5912998517	84767.9593523343	0.0000499213	0.0733333333	0.5333333333	
84765.8607900143	84713.3740410209	417.7853431802	84766.4927222331	84765.8607900143	0.0005316502	0.0466666667	0.5333333333	
84764.5801836252	84713.3740410209	417.3949951900	84764.7346160809	84764.5801836252	0.0001199133	0.0446666667	0.5333333333	
84763.6776053905	84710.8782574534	417.1676853691	84764.0631820758	84763.6776053905	0.0002145477	0.0493333333	0.5333333333	
84761.1410172780	84710.6358811259	410.8848018530	84761.4873351653	84761.1410172780	0.0002261520	0.0473333333	0.5333333333	
84759.6331310272	84710.3281423450	410.0606604316	84760.1010493437	84759.6331310272	0.0005853222	0.0826666667	0.5333333333	
84757.6997993390	84707.8713849187	407.4074267158	84757.9143073161	84757.6997993390	0.0003314795	0.0866666667	0.5333333333	
84756.5177551905	84707.8713849187	407.2740815205	84756.9865987698	84756.5177551905	0.0002837973	0.1206666667	0.5333333333	
84755.9754530589	84707.8713849187	407.0831377059	84756.3514761130	84755.9754530589	0.0001766548	0.0220000000	0.5333333333	
84755.3680880864	84707.8713849187	407.1981874914	84755.4333873590	84755.3680880864	0.0000244981	0.0073333333	0.5333333333	
84753.4653582176	84707.3526665568	407.2359027047	84754.3192325036	84753.4653582176	0.0001675061	0.0546666667	0.5666666667	
84750.8975754182	84703.2679602504	407.0620088661	84751.6986227036	84750.8975754182	0.0003364690	0.2226666667	0.5666666667	
84745.6810913483	84702.1697059274	406.0381970082	84747.7604091167	84745.6810913483	0.0008641353	0.2633333333	0.5666666667	
84744.6240478754	84701.3294324279	405.6841485900	84745.1554896434	84744.6240478754	0.0003793076	0.1266666667	0.5666666667	
84737.2255960107	84700.0225827098	401.3954031634	84740.0358969967	84737.2255960107	0.0010289144	0.3953333333	0.5666666667	
84734.0984509389	84699.9138101935	400.2362292972	84736.1655851205	84734.0984509389	0.0009359514	0.4360000000	0.5666666667	
84732.8910003106	84699.6679678559	399.8877673287	84733.1262197097	84732.8910003106	0.0002962226	0.0746666667	0.5666666667	
84730.9640236696	84695.7418426871	400.4685567350	84730.9861308336	84730.9640236696	0.0000262421	0.0113333333	0.5666666667	
84728.9900122086	84695.1024666429	400.0483528360	84729.8079182704	84728.9900122086	0.0003172853	0.1453333333	0.5666666667	
84727.3684641719	84693.0727913976	400.6638710888	84727.6195596655	84727.3684641719	0.0003486654	0.0493333333	0.5666666667	
84726.4309907953	84690.5383571982	400.4693728216	84726.5223247806	84726.4309907953	0.0001738305	0.0320000000	0.5666666667	
84725.2644818028	84689.4485190511	400.0984116544	84725.8285205563	84725.2644818028	0.0003471626	0.1046666667	0.5666666667	
84724.3239979943	84688.8490214944	400.5070878555	84724.5872363448	84724.3239979943	0.0001722865	0.0106666667	0.5666666667	
84723.6726088325	84686.1156538129	400.3432883368	84723.8221817215	84723.6726088325	0.0002030937	0.0000000000	0.5666666667	
84722.6979032159	84680.7670429349	400.1800455496	84723.3021470904	84722.6979032159	0.0004241565	0.1820000000	0.5666666667	
84720.0072629253	84678.1508788466	401.6122453249	84720.4214377205	84720.0072629253	0.0003287828	0.0473333333	0.5666666667	
84719.2011774580	84678.1508788466	401.8496582757	84720.1993218064	84719.2011774580	0.0002403383	0.1320000000	0.5666666667	
84717.7587077022	84678.1508788466	401.9838668312	84717.9365423322	84717.7587077022	0.0001695908	0.0653333333	0.5666666667	
84716.7508430282	84676.7273738980	402.2109292760	84717.1158193548	84716.7508430282	0.0001251278	0.0260000000	0.5666666667	
84715.3940867384	84676.1357173324	402.6757292915	84716.4321314295	84715.3940867384	0.0000573636	0.0900000000	0.5666666667	
84714.4603696465	84676.0237231851	402.9688836852	84715.3746512532	84714.4603696465	0.0003180576	0.0986666667	0.5666666667	
84713.5118992130	84675.9030595422	402.4895502766	84713.6823585629	84713.5118992130	0.0002784174	0.0793333333	0.5666666667	
84712.4440433582	84673.5893711448	402.8714263967	84713.1003646056	84712.4440433582	0.0003897849	0.0060000000	0.5666666667	
84708.5281957189	84673.5893711448	407.3459191099	84708.6920329928	84708.5281957189	0.0001077948	0.0466666667	0.5666666667	
84706.2598348657	84671.6375544667	407.9059362382	84706.8463813265	84706.2598348657	0.0004145555	0.1373333333	0.5666666667	
84704.0360688170	84667.0121565461	408.2949213816	84704.8382422328	84704.0360688170	0.0002678247	0.1833333333	0.5666666667	
84702.0297252138	84665.7708451152	405.6289709731	84702.6546427608	84702.0297252138	0.0002265535	0.1753333333	0.5666666667	
84698.7821699182	84665.4358193278	404.9806940625	84701.1788379153	84698.7821699182	0.0004435488	0.0953333333	0.6000000000	
84696.5330236157	84664.9391755462	404.4569611678	84696.7731333772	84696.5330236157	0.0000777110	0.0640000000	0.6000000000	
84695.5600870649	84661.6505518556	404.4546324738	84697.3379610976	84695.5600870649	0.0004546503	0.0446666667	0.6000000000	
84691.4529989163	84661.6505518556	402.3874737707	84691.8155745665	84691.4529989163	0.0002910946	0.0740000000	0.6000000000	
84690.7097153862	84661.6505518556	402.2635787064	84690.8123460412	84690.7097153862	0.0000452326	0.0313333333	0.6000000000	
84690.0197185079	84660.4990020394	402.0906982979	84690.0997073452	84690.0197185079	0.0000804331	0.0240000000	0.6000000000	
84689.5999504129	84660.4990020394	402.2415039654	84689.6593760451	84689.5999504129	0.0001597438	0.0233333333	0.6000000000	
84689.1727563739	84660.3805825114	402.3692817236	84689.2418002089	84689.1727563739	0.0001821582	0.0080000000	0.6000000000	
84687.6864845554	84657.0513591170	402.0420882378	84688.0173791448	84687.6864845554	0.0003444778	0.1300000000	0.6000000000	
84686.7581451933	84657.0513591170	402.2072409115	84687.3465229074	84686.7581451933	0.0003219184	0.0973333333	0.6000000000	
84684.7692180673	84656.6118732095	402.3884085695	84686.0394137104	84684.7692180673	0.0002915694	0.0713333333	0.6000000000	
84682.7625953158	84653.9043173194	402.1767427892	84682.7733311057	84682.7625953158	0.0000356750	0.0000000000	0.6000000000	
84681.6624314586	84650.6087169051	402.0867674501	84682.1037003398	84681.6624314586	0.0001228210	0.0613333333	0.6000000000	
84680.8774810036	84647.6961925626	402.1873123925	84680.9548927347	84680.8774810036	0.0000280444	0.0440000000	0.6000000000	
84679.8159042001	84647.6961925626	402.7179647982	84679.8409180840	84679.8159042001	0.0000606431	0.0073333333	0.6000000000	
84678.9943423867	84647.6961925626	402.8774200186	84679.7278027733	84678.9943423867	0.0005695190	0.0300000000	0.6000000000	
84677.5908175111	84647.5376233459	403.0875541234	84679.1937966148	84677.5908175111	0.0004931196	0.1086666667	0.6000000000	
84677.1502024929	84647.5376233459	403.2219646340	84677.1730070313	84677.1502024929	0.0000555668	0.0000000000	0.6000000000	
84676.2881772717	84644.8785349727	403.2696583698	84676.3408568501	84676.2881772717	0.0000975880	0.0573333333	0.6000000000	
84674.4894195596	84644.4687321782	402.6286776503	84674.6882368128	84674.4894195596	0.0001102247	0.0233333333	0.6333333333	
84673.4955466787	84644.4687321782	402.9490873329	84673.7195856373	84673.4955466787	0.0001407075	0.0466666667	0.6333333333	
84671.5007224679	84643.4033349156	403.6585574945	84671.7865283291	84671.5007224679	0.0002100209	0.0746666667	0.6333333333	
84669.1727595528	84643.2390496135	403.9251919238	84669.7330950697	84669.1727595528	0.0001324226	0.0726666667	0.6333333333	
84668.2320369283	84643.2390496135	404.4334313706	84668.4798768163	84668.2320369283	0.0002382753	0.0440000000	0.6333333333	
84667.0827113589	84643.2390496135	404.7144291845	84667.5229937832	84667.0827113589	0.0002271081	0.0140000000	0.6333333333	
84666.4633302887	84642.7883163095	404.7804328103	84667.2591810425	84666.4633302887	0.0002338076	0.0313333333	0.6333333333	
84664.6295783917	84637.5252366066	405.3496180863	84664.6811856826	84664.6295783917	0.0000483982	0.0273333333	0.6333333333	
