Mean	Median	StdDev	Max	Min	Entropy	Hamming
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.4969142675	84907.4969142675	0.0000000000	84907.4969142675	84907.4969142675	0.0000000000	0.0000000000	
84907.3181182146	84907.3181182146	0.0000000000	84907.4969142675	84907.3181182146	0.0001402221	0.2200000000	
84907.3181182146	84907.3181182146	0.0000000000	84907.3181182146	84907.3181182146	0.0000000000	0.0000000000	
84907.3181182146	84907.3181182146	0.0000000000	84907.3181182146	84907.3181182146	0.0000000000	0.0000000000	
84907.3181182146	84907.3181182146	0.0000000000	84907.3181182146	84907.3181182146	0.0000000000	0.0000000000	
84905.3156346083	84905.3156346083	0.0000000000	84907.3181182146	84905.3156346083	0.0014165412	0.0000000000	
84905.3156346083	84905.3156346083	0.0000000000	84905.3156346083	84905.3156346083	0.0000000000	0.0000000000	
84905.3156346083	84905.3156346083	0.0000000000	84905.3156346083	84905.3156346083	0.0000000000	0.0000000000	
84904.8706501722	84904.8706501722	0.0000000000	84904.8706501722	84904.8706501722	0.0000000000	0.0000000000	
