Mean	Median	StdDev	Max	Min	Entropy	Hamming
84982.7908545732	84982.7908545732	0.0000000000	84990.1541858912	84982.7908545732	0.0032025916	1.0800000000	
84981.8548887968	84981.8548887968	0.0000000000	84982.3452740908	84981.8548887968	0.0002167068	0.3400000000	
84972.0991402864	84972.0991402864	0.0000000000	84975.2922803164	84972.0991402864	0.0031278809	0.0000000000	
84972.0991402864	84972.0991402864	0.0000000000	84972.0991402864	84972.0991402864	0.0000000000	0.0000000000	
84971.9104260206	84971.9104260206	0.0000000000	84972.0991402864	84971.9104260206	0.0008079619	0.0000000000	
84969.2520469427	84969.2520469427	0.0000000000	84970.7471042871	84969.2520469427	0.0003441814	0.5400000000	
84968.5382097960	84968.5382097960	0.0000000000	84968.5382097960	84968.5382097960	0.0000000000	0.0000000000	
84967.5304442644	84967.5304442644	0.0000000000	84967.5304442644	84967.5304442644	0.0000000000	0.0000000000	
84967.5304442644	84967.5304442644	0.0000000000	84967.5304442644	84967.5304442644	0.0000000000	0.0000000000	
84962.9944533110	84962.9944533110	0.0000000000	84967.5304442644	84962.9944533110	0.0019182329	0.0000000000	
84959.7056478262	84959.7056478262	0.0000000000	84959.7056478262	84959.7056478262	0.0000000000	0.0000000000	
84959.7056478262	84959.7056478262	0.0000000000	84959.7056478262	84959.7056478262	0.0000000000	0.0000000000	
84954.4638186693	84954.4638186693	0.0000000000	84959.2536658049	84954.4638186693	0.0013446818	0.2800000000	
84954.4638186693	84954.4638186693	0.0000000000	84954.4638186693	84954.4638186693	0.0000000000	0.0000000000	
84951.8728226423	84951.8728226423	0.0000000000	84951.8728226423	84951.8728226423	0.0000000000	0.0000000000	
84949.5544403791	84949.5544403791	0.0000000000	84951.0720819235	84949.5544403791	0.0002294543	0.3600000000	
84948.8374084234	84948.8374084234	0.0000000000	84949.5544403791	84948.8374084234	0.0016119193	0.0000000000	
84947.5388020277	84947.5388020277	0.0000000000	84948.8112121820	84947.5388020277	0.0027988646	0.0000000000	
84947.4950999022	84947.4950999022	0.0000000000	84947.4950999022	84947.4950999022	0.0000000000	0.0000000000	
84947.4950999022	84947.4950999022	0.0000000000	84947.4950999022	84947.4950999022	0.0000000000	0.0000000000	
84946.8025237322	84946.8025237322	0.0000000000	84947.4950999022	84946.8025237322	0.0000637373	0.1000000000	
84945.0439542532	84945.0439542532	0.0000000000	84946.8025237322	84945.0439542532	0.0001274746	0.2000000000	
84944.5534199476	84944.5534199476	0.0000000000	84945.0439542532	84944.5534199476	0.0004409481	0.1800000000	
84944.5480793715	84944.5480793715	0.0000000000	84944.5534199476	84944.5480793715	0.0006301531	0.0000000000	
84943.5728579760	84943.5728579760	0.0000000000	84944.5480793715	84943.5728579760	0.0009477911	0.0000000000	
84942.3673301935	84942.3673301935	0.0000000000	84942.3673301935	84942.3673301935	0.0000000000	0.0000000000	
84942.2045618296	84942.2045618296	0.0000000000	84942.2045618296	84942.2045618296	0.0000000000	0.0000000000	
84940.8865004778	84940.8865004778	0.0000000000	84942.0450955629	84940.8865004778	0.0005863831	0.9200000000	
84940.2398556471	84940.2398556471	0.0000000000	84940.8865004778	84940.2398556471	0.0006860128	0.0000000000	
84940.2398556471	84940.2398556471	0.0000000000	84940.2398556471	84940.2398556471	0.0000000000	0.0000000000	
84940.2398556471	84940.2398556471	0.0000000000	84940.2398556471	84940.2398556471	0.0000000000	0.0000000000	
84940.2398556471	84940.2398556471	0.0000000000	84940.2398556471	84940.2398556471	0.0000000000	0.0000000000	
84939.3010586500	84939.3010586500	0.0000000000	84940.2398556471	84939.3010586500	0.0021799449	0.0000000000	
84939.0326470137	84939.0326470137	0.0000000000	84939.3010586500	84939.0326470137	0.0007451128	0.0000000000	
84937.5061899424	84937.5061899424	0.0000000000	84939.0326470137	84937.5061899424	0.0066465627	0.0000000000	
84937.5061899424	84937.5061899424	0.0000000000	84937.5061899424	84937.5061899424	0.0000000000	0.0000000000	
84936.9599372149	84936.9599372149	0.0000000000	84937.5061899424	84936.9599372149	0.0025415269	0.0000000000	
84936.4492923021	84936.4492923021	0.0000000000	84936.9599372149	84936.4492923021	0.0023828147	0.0000000000	
84936.4492923021	84936.4492923021	0.0000000000	84936.4492923021	84936.4492923021	0.0000000000	0.0000000000	
84936.4492923021	84936.4492923021	0.0000000000	84936.4492923021	84936.4492923021	0.0000000000	0.0000000000	
84935.1246565580	84935.1246565580	0.0000000000	84936.4492923021	84935.1246565580	0.0002167068	0.3400000000	
84935.1246565580	84935.1246565580	0.0000000000	84935.1246565580	84935.1246565580	0.0000000000	0.0000000000	
84935.1246565580	84935.1246565580	0.0000000000	84935.1246565580	84935.1246565580	0.0000000000	0.0000000000	
84934.1281801462	84934.1281801462	0.0000000000	84934.7637444735	84934.1281801462	0.0010167757	0.0000000000	
84932.5484603643	84932.5484603643	0.0000000000	84934.1281801462	84932.5484603643	0.0002402049	0.0000000000	
84932.5484603643	84932.5484603643	0.0000000000	84932.5484603643	84932.5484603643	0.0000000000	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0002106203	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0002106203	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84931.7426890135	84931.7426890135	0.0000000000	84931.7426890135	84931.7426890135	0.0001908365	0.0000000000	
84930.6296557188	84930.6296557188	0.0000000000	84931.7426890135	84930.6296557188	0.0021600798	0.0000000000	
