0.9 0.7 25000 768.135040 7.681350e+02
0.9 0.7 25000 672.771553 6.727716e+02
0.9 0.7 25000 424.297683 4.242977e+02
0.9 0.7 25000 187.119834 1.871198e+02
0.9 0.7 25000 240.168362 2.401684e+02
0.9 0.7 25000 448.091549 4.480915e+02
0.9 0.7 25000 225.104758 2.251048e+02
0.9 0.7 25000 253.347168 2.533472e+02
0.9 0.7 25000 213.894762 2.138948e+02
0.9 0.7 25000 673.451974 6.734520e+02
0.9 0.7 25000 479.774415 4.797744e+02
0.9 0.7 25000 174.644612 1.746446e+02
0.9 0.7 25000 205.816923 2.058169e+02
0.9 0.7 25000 255.425251 2.554253e+02
0.9 0.7 25000 224.707077 2.247071e+02
0.9 0.7 25000 559.833182 5.598332e+02
0.9 0.7 25000 668.173965 6.681740e+02
0.9 0.7 25000 827.014946 8.270149e+02
0.9 0.7 25000 245.169724 2.451697e+02
0.9 0.7 25000 164.473755 1.644738e+02
0.9 0.7 25000 201.959886 2.019599e+02
0.9 0.7 25000 315.161839 3.151618e+02
0.9 0.7 25000 239.960567 2.399606e+02
0.9 0.7 25000 759.296997 7.592970e+02
0.9 0.7 25000 193.298027 1.932980e+02
0.9 0.7 25000 359.548617 3.595486e+02
0.9 0.7 25000 447.735799 4.477358e+02
0.9 0.7 25000 432.646645 4.326466e+02
0.9 0.7 25000 307.585564 3.075856e+02
0.9 0.7 25000 227.459664 2.274597e+02
1.644738e+02 8.270149e+02 3.798690e+02 2.815054e+02 2.021486e+02
